date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:45	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://classcentral/)
10:26:45	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://classcentral/)
10:26:46	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://classcentral/)
10:26:46	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://classcentral/)
10:26:46	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://classcentral/)
10:26:46	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://classcentral/)
10:26:46	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://classcentral/)
10:26:47	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://classcentral/)
10:26:47	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://classcentral/)
10:26:47	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://classcentral/)
10:26:48	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://classcentral/)
10:26:48	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://classcentral/)
10:26:48	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://classcentral/)
10:26:48	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://classcentral/)
10:26:49	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://classcentral/)
10:26:49	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/class6/classcentral/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://classcentral/)
10:26:49	990/990	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://classcentral/images/fade-gradient.png	C:/My%20Web%20Sites/class6/classcentral/images/fade-gradient.png	(from https://classcentral/)
10:26:50	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/class6/www.google-analytics.com/analytics.js	(from https://classcentral/)
10:26:51	600958/600958	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:26:49%20GMT	https://classcentral/rankings	C:/My%20Web%20Sites/class6/classcentral/rankings.html	(from https://classcentral/)
10:26:52	593666/593666	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:26:49%20GMT	https://classcentral/collections	C:/My%20Web%20Sites/class6/classcentral/collections.html	(from https://classcentral/)
10:26:53	576250/576250	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:26:50%20GMT	https://classcentral/subjects	C:/My%20Web%20Sites/class6/classcentral/subjects.html	(from https://classcentral/)
10:26:53	898928/898928	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:26:51%20GMT	https://classcentral/subject/cs	C:/My%20Web%20Sites/class6/classcentral/subject/cs.html	(from https://classcentral/)
10:26:54	848601/848601	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:26:52%20GMT	https://classcentral/subject/health	C:/My%20Web%20Sites/class6/classcentral/subject/health.html	(from https://classcentral/)
